Date,Open,High,Low,Close,Volume
06/30/2021,"374.50","379.44","373.62","378.35","1,077,635"
06/29/2021,"379.88","380.40","373.25","373.42","1,224,084"
06/28/2021,"381.67","382.73","378.82","380.07","778,201"
06/25/2021,"376.89","383.42","376.89","382.01","1,708,141"
06/24/2021,"379.52","379.99","376.85","377.73","1,032,939"
06/23/2021,"382.21","382.51","377.26","377.33","1,023,970"
06/22/2021,"381.54","383.88","379.65","382.48","636,199"
06/21/2021,"381.23","385.44","380.61","382.50","1,186,964"
06/18/2021,"380.17","382.10","379.00","379.19","2,416,444"
06/17/2021,"384.28","385.52","379.57","382.90","1,246,494"
06/16/2021,"390.81","391.00","383.20","383.60","1,524,204"
06/15/2021,"390.00","392.05","389.06","389.80","943,906"
06/14/2021,"387.61","389.46","385.88","389.11","868,503"
06/11/2021,"388.78","389.15","385.17","387.72","751,226"
06/10/2021,"389.14","389.74","386.09","387.72","913,818"
06/09/2021,"389.27","389.27","385.12","386.80","1,046,135"
06/08/2021,"391.51","392.66","387.07","388.53","1,064,965"
06/07/2021,"395.04","395.72","389.61","391.51","1,088,039"
06/04/2021,"388.00","395.52","387.61","394.10","1,836,215"
06/03/2021,"383.76","387.54","383.10","387.35","1,649,900"
06/02/2021,"382.01","385.50","380.63","385.09","1,007,639"
06/01/2021,"384.23","384.43","381.13","381.92","962,235"
05/28/2021,"384.70","386.00","381.52","382.20","936,255"
05/27/2021,"387.40","387.95","384.28","387.39","3,979,331"
05/26/2021,"385.57","386.07","382.21","384.13","999,616"
05/25/2021,"387.90","389.50","385.18","385.85","978,570"
05/24/2021,"389.50","389.75","385.96","387.71","931,421"
05/21/2021,"389.30","392.19","385.56","387.22","892,481"
05/20/2021,"386.79","389.54","386.07","388.32","1,094,677"
05/19/2021,"385.00","385.73","381.35","385.54","994,987"
05/18/2021,"391.27","394.17","387.08","387.22","1,172,060"
05/17/2021,"389.63","392.03","388.72","391.12","979,106"
05/14/2021,"390.17","392.10","388.59","390.78","799,836"
05/13/2021,"381.78","390.38","380.95","387.77","1,106,033"
05/12/2021,"387.97","390.35","380.20","380.62","1,633,728"
05/11/2021,"391.03","391.68","384.41","387.82","1,353,302"
05/10/2021,"391.36","396.99","391.29","393.14","1,578,569"
05/07/2021,"387.00","392.60","385.89","390.34","1,203,659"
05/06/2021,"387.99","389.30","386.00","387.34","1,079,568"
05/05/2021,"386.34","387.48","381.71","386.37","1,079,289"
05/04/2021,"387.25","390.15","384.54","387.48","1,509,589"
05/03/2021,"379.77","386.39","379.06","385.31","1,347,374"
04/30/2021,"378.86","382.00","377.60","380.56","1,103,881"
04/29/2021,"375.00","381.98","374.84","380.35","1,385,925"
04/28/2021,"373.46","373.88","370.95","372.94","1,110,353"
04/27/2021,"371.50","374.24","370.14","373.22","1,564,899"
04/26/2021,"374.28","375.31","370.72","371.98","1,518,126"
04/23/2021,"378.59","378.59","373.32","377.29","1,298,269"
04/22/2021,"386.77","386.77","378.40","380.09","1,670,498"
04/21/2021,"387.52","390.89","384.95","387.24","1,358,517"
04/20/2021,"388.00","391.50","384.62","387.33","1,370,268"
04/19/2021,"392.00","392.39","386.62","391.73","1,317,625"
04/16/2021,"392.82","394.34","389.80","391.81","1,499,667"
04/15/2021,"388.67","392.00","387.70","390.63","1,289,354"
04/14/2021,"387.40","391.24","387.00","388.67","1,078,789"
04/13/2021,"386.56","388.20","384.34","387.11","1,124,303"
04/12/2021,"387.13","388.71","384.29","387.85","1,067,582"
04/09/2021,"386.88","390.26","383.66","386.23","1,400,872"
04/08/2021,"379.60","387.42","378.31","386.02","1,863,516"
04/07/2021,"378.74","380.40","376.07","380.19","977,184"
04/06/2021,"376.51","380.10","376.32","378.97","1,036,026"
04/05/2021,"372.06","380.40","372.06","378.75","1,489,323"
04/01/2021,"368.99","372.99","368.34","371.02","1,261,845"
03/31/2021,"370.75","372.61","367.38","369.50","1,375,493"
03/30/2021,"373.25","374.13","368.61","370.54","1,518,830"
03/29/2021,"365.00","374.24","365.00","372.79","2,245,475"
03/26/2021,"362.31","365.25","359.75","364.71","2,010,519"
03/25/2021,"354.77","361.79","354.22","361.22","1,598,138"
03/24/2021,"354.99","362.68","354.99","356.12","1,592,280"
03/23/2021,"357.11","359.25","352.67","353.61","1,474,639"
03/22/2021,"352.00","358.37","352.00","357.66","2,190,894"
03/19/2021,"359.43","359.43","350.10","355.07","5,739,094"
03/18/2021,"353.87","359.00","352.54","358.45","2,272,188"
03/17/2021,"347.83","355.55","347.13","351.02","2,082,960"
03/16/2021,"346.51","349.00","342.30","347.13","1,687,736"
03/15/2021,"344.38","346.64","342.60","346.41","2,056,734"
03/12/2021,"339.64","343.65","338.62","340.19","2,151,903"
03/11/2021,"341.00","343.63","338.46","339.73","1,673,477"
03/10/2021,"339.41","343.19","335.69","340.84","1,760,331"
03/09/2021,"341.41","342.85","337.27","337.50","1,448,767"
03/08/2021,"343.50","346.06","338.44","341.45","1,599,138"
03/05/2021,"338.47","341.17","335.13","340.43","1,451,254"
03/04/2021,"340.48","344.35","334.15","338.25","2,196,693"
03/03/2021,"339.61","346.33","338.59","340.91","4,052,270"
03/02/2021,"333.27","340.01","332.67","338.59","2,076,290"
03/01/2021,"334.00","337.72","332.82","333.47","1,655,133"
02/26/2021,"338.00","338.76","330.00","330.25","2,023,977"
02/25/2021,"345.80","349.10","340.67","341.69","1,568,044"
02/24/2021,"347.28","350.30","344.61","346.53","2,068,730"
02/23/2021,"345.13","347.47","338.33","346.23","2,400,011"
02/22/2021,"333.80","343.56","333.21","340.47","1,657,245"
02/19/2021,"339.07","339.09","335.25","335.42","1,849,154"
02/18/2021,"336.88","339.58","335.28","337.92","1,296,402"
02/17/2021,"334.70","339.27","332.79","337.00","2,021,788"
02/16/2021,"339.25","340.00","333.82","335.03","1,668,384"
02/12/2021,"338.40","340.64","336.56","337.73","1,207,347"
02/11/2021,"340.78","344.61","338.03","339.14","1,181,566"
02/10/2021,"343.22","343.74","339.15","342.19","1,728,882"
02/09/2021,"338.54","344.51","336.57","342.34","1,677,472"
02/08/2021,"339.01","339.50","335.20","337.84","1,549,852"
02/05/2021,"339.59","341.42","336.50","337.04","1,454,717"
02/04/2021,"333.99","338.42","332.18","337.23","2,174,109"
02/03/2021,"331.68","333.40","328.30","332.39","2,683,133"
02/02/2021,"327.43","335.20","326.69","332.70","2,065,380"
02/01/2021,"324.88","325.65","319.81","324.03","1,615,460"
01/29/2021,"327.10","328.98","321.72","321.82","2,101,146"
01/28/2021,"332.14","334.68","327.18","327.93","1,837,783"
01/27/2021,"332.28","335.73","329.67","332.51","2,666,254"
01/26/2021,"339.00","343.98","330.69","330.69","3,542,394"
01/25/2021,"339.36","346.89","337.90","343.51","1,976,590"
01/22/2021,"338.74","341.84","337.21","339.88","1,557,608"
01/21/2021,"341.67","343.61","338.96","339.67","1,662,714"
01/20/2021,"342.54","343.78","339.22","341.67","1,780,036"
01/19/2021,"350.74","350.97","341.48","341.50","2,017,205"
01/15/2021,"347.09","350.50","344.28","347.27","1,853,095"
01/14/2021,"348.00","354.79","346.85","347.44","1,965,626"
01/13/2021,"341.41","347.20","339.17","345.49","1,648,145"
01/12/2021,"336.52","343.37","335.63","341.85","3,002,223"
01/11/2021,"335.00","339.00","333.32","337.68","3,203,959"
01/08/2021,"341.88","343.47","335.01","336.10","3,226,305"
01/07/2021,"344.36","347.85","341.34","342.55","2,048,908"
01/06/2021,"343.00","351.92","342.78","348.03","1,897,475"
01/05/2021,"344.64","351.19","343.30","348.79","1,479,063"
01/04/2021,"354.98","354.98","341.07","344.64","1,887,470"
12/31/2020,"353.82","356.03","352.23","354.98","1,318,520"
12/30/2020,"353.00","356.61","353.00","354.16","840,790"
12/29/2020,"356.00","357.35","351.80","353.90","1,056,162"
12/28/2020,"353.11","357.82","351.71","354.18","1,023,404"
12/24/2020,"352.83","354.06","350.40","351.97","508,779"
12/23/2020,"349.95","355.00","349.40","351.60","1,307,538"
12/22/2020,"349.35","350.62","347.39","347.92","1,822,762"
