Date,Open,High,Low,Close,Volume
06/30/2021,"84.34","85.67","84.14","85.31","4,744,496"
06/29/2021,"85.38","85.87","84.34","84.44","6,496,954"
06/28/2021,"86.39","86.40","84.76","85.11","5,738,637"
06/25/2021,"87.03","87.40","86.68","86.72","6,611,282"
06/24/2021,"87.18","87.18","86.26","86.85","5,335,186"
06/23/2021,"87.42","87.61","86.57","86.60","3,524,488"
06/22/2021,"87.68","88.06","86.86","87.38","4,150,085"
06/21/2021,"86.75","88.14","86.52","88.00","5,097,448"
06/18/2021,"85.90","86.73","85.62","85.92","10,387,190"
06/17/2021,"88.48","88.73","86.32","87.13","7,480,665"
06/16/2021,"89.23","89.43","87.95","88.43","8,033,768"
06/15/2021,"88.95","89.80","88.80","89.40","5,336,677"
06/14/2021,"88.72","89.19","88.25","88.72","5,924,874"
06/11/2021,"88.70","88.97","88.17","88.81","4,082,650"
06/10/2021,"89.80","89.98","88.16","88.25","4,826,283"
06/09/2021,"89.36","89.57","88.82","88.85","4,594,454"
06/08/2021,"89.20","89.78","88.76","89.45","4,776,968"
06/07/2021,"88.97","89.15","88.48","88.97","5,693,948"
06/04/2021,"88.65","89.24","88.55","89.02","4,083,004"
06/03/2021,"88.11","88.97","87.89","88.68","4,083,203"
06/02/2021,"89.25","89.25","88.45","88.63","4,429,419"
06/01/2021,"89.81","89.93","88.84","88.99","4,302,527"
05/28/2021,"88.40","88.83","88.04","88.71","4,850,672"
05/27/2021,"88.50","88.81","87.71","88.61","10,492,180"
05/26/2021,"86.33","86.73","86.00","86.50","4,826,150"
05/25/2021,"86.63","87.28","85.99","86.26","7,606,523"
05/24/2021,"86.49","86.95","86.00","86.48","5,113,304"
05/21/2021,"85.85","87.10","85.55","85.81","5,803,841"
05/20/2021,"84.74","85.56","84.09","85.23","10,060,130"
05/19/2021,"84.84","85.27","83.58","85.21","9,296,453"
05/18/2021,"86.20","86.96","85.35","85.38","7,438,333"
05/17/2021,"85.06","86.57","85.06","86.57","5,059,549"
05/14/2021,"84.45","86.07","84.36","85.88","4,989,535"
05/13/2021,"82.30","84.28","82.14","83.78","4,710,381"
05/12/2021,"84.23","84.86","82.22","82.28","6,086,841"
05/11/2021,"84.24","85.20","83.35","84.33","6,708,052"
05/10/2021,"86.86","87.04","84.93","85.04","9,042,625"
05/07/2021,"84.81","85.93","84.14","85.71","6,056,042"
05/06/2021,"84.81","84.90","83.53","84.68","4,903,888"
05/05/2021,"83.63","84.67","83.54","84.13","4,658,233"
05/04/2021,"84.12","84.59","83.15","83.94","9,307,027"
05/03/2021,"83.80","84.45","83.28","84.14","5,828,775"
04/30/2021,"82.55","83.41","82.35","83.24","5,615,957"
04/29/2021,"83.56","83.80","82.51","82.87","6,237,020"
04/28/2021,"81.48","83.12","81.48","83.08","7,164,209"
04/27/2021,"82.76","83.69","80.88","82.81","11,082,370"
04/26/2021,"81.00","82.07","80.80","81.00","12,145,570"
04/23/2021,"78.81","80.76","78.81","80.54","7,142,207"
04/22/2021,"78.99","79.91","78.55","78.74","6,706,757"
04/21/2021,"76.81","78.94","76.40","78.87","5,187,112"
04/20/2021,"77.80","77.91","76.07","77.09","8,692,916"
04/19/2021,"78.12","78.73","77.74","78.59","6,265,620"
04/16/2021,"78.59","78.59","77.05","78.22","7,629,718"
04/15/2021,"78.16","78.28","76.98","77.97","5,106,468"
04/14/2021,"78.00","78.69","77.77","77.96","4,855,475"
04/13/2021,"78.00","78.08","76.74","77.70","5,490,907"
04/12/2021,"78.25","78.82","78.13","78.72","5,485,775"
04/09/2021,"78.54","78.88","77.65","78.29","5,423,405"
04/08/2021,"77.13","77.56","76.49","77.48","5,042,964"
04/07/2021,"77.49","78.11","77.05","77.60","5,334,869"
04/06/2021,"77.59","78.09","77.20","77.51","8,489,200"
04/05/2021,"77.86","78.45","77.54","77.91","5,637,907"
04/01/2021,"77.61","77.80","76.93","77.28","6,166,318"
03/31/2021,"77.84","78.22","77.05","77.27","6,003,339"
