Date,Open,High,Low,Close,Adj Close,Volume
6/30/2011,73,74.099998,72.900002,73.93,59.70554,4245300
7/1/2011,73.809998,74.730003,73.800003,74.269997,59.980122,3647800
7/5/2011,74.169998,74.730003,73.849998,74.150002,59.883221,3130300
7/6/2011,74.129997,75.160004,74.010002,74.739998,60.359699,3757800
7/7/2011,75.330002,76.199997,74.849998,75.989998,61.369186,4976900
7/8/2011,75.580002,75.580002,74.57,75.07,60.626202,4051200
7/11/2011,74.169998,74.730003,73,73.349998,59.237133,4379000
7/12/2011,73.620003,73.860001,71.790001,71.93,58.090343,5773000
7/13/2011,72.559998,73.25,71.860001,72.169998,58.284184,4707700
7/14/2011,71.940002,72.32,71,71.190002,57.492737,5691200
7/15/2011,71.699997,71.709999,70.849998,71.279999,57.565411,4058500
7/18/2011,70.660004,70.699997,69.07,69.550003,56.168278,7294900
7/19/2011,70.110001,70.989998,69.309998,70.529999,56.959724,7434200
7/20/2011,71.120003,73.300003,70.760002,72.07,58.203411,8026000
7/21/2011,72.580002,73.25,72,72.889999,58.865654,4301500
7/22/2011,73.190002,73.190002,72.239998,72.669998,58.687965,2921300
7/25/2011,71.379997,72.010002,71.010002,71.309998,57.589649,3990800
7/26/2011,71.379997,71.440002,69.860001,70.160004,56.660904,7061900
7/27/2011,71.730003,73.199997,70.529999,70.629997,57.040474,9806900
7/28/2011,71,72.330002,70.589996,70.660004,57.06472,5448400
7/29/2011,70,71.110001,69.25,70.470001,56.911285,5962000
8/1/2011,71.610001,71.629997,69.529999,70.330002,56.798218,5554600
8/2/2011,69.559998,70.290001,67.690002,67.699997,54.674213,7052400
8/3/2011,67.889999,68.110001,66.099998,67.339996,54.383488,6749800
8/4/2011,66.360001,66.379997,63,63.09,50.951195,10707100
8/5/2011,64.089996,64.449997,61.41,62.75,50.67662,11643100
8/8/2011,61.099998,61.810001,58.610001,58.709999,47.41394,13561000
8/9/2011,60.040001,62.459999,58.759998,62.34,50.345512,14122800
8/10/2011,60.919998,61.200001,57.23,57.41,46.678543,13549600
8/11/2011,57.650002,59.57,56.009998,58.849998,47.84938,15539100
8/12/2011,59.950001,61.869999,59.16,61.75,50.207287,10082800
8/15/2011,62.060001,62.73,61.369999,62.700001,50.979702,6933400
8/16/2011,61.73,62.98,61.41,62.23,50.597569,6841400
8/17/2011,62.439999,62.919998,61.610001,62.18,50.556908,6263400
8/18/2011,60.400002,60.720001,58.220001,58.93,47.914417,8108800
8/19/2011,58.299999,59.43,57.470001,57.540001,46.784245,9229900
8/22/2011,59.139999,59.360001,58.040001,58.380001,47.467224,6862800
8/23/2011,58.700001,60.77,58.189999,60.77,49.410477,6527700
8/24/2011,60.59,61.91,60.450001,61.689999,50.158489,4852000
8/25/2011,62.049999,62.389999,60.5,61.099998,49.678791,6440000
8/26/2011,60.639999,62.970001,60.130001,62.799999,51.06102,6199200
8/29/2011,63.990002,64.779999,63.599998,64.599998,52.524551,4303900
8/30/2011,65.230003,66.540001,64.800003,66.029999,53.687237,6984200
8/31/2011,66.690002,67.290001,66.139999,66.860001,54.362091,6807400
9/1/2011,66.959999,67.730003,66,66.050003,53.703514,6169500
9/2/2011,65.010002,65.150002,63.709999,64.029999,52.061085,4735100
9/6/2011,61.91,62.900002,61.220001,62.77,51.036629,6478800
9/7/2011,63.939999,65.209999,63.419998,64.900002,52.768471,5530300
9/8/2011,64.339996,64.5,62.610001,62.810001,51.069145,6866500
9/9/2011,62.110001,63.09,61.439999,61.790001,50.239807,5415700
9/12/2011,60.830002,62.529999,60.330002,62.389999,50.727661,5520600
9/13/2011,62.299999,63.59,62.029999,62.849998,51.101669,5283600
9/14/2011,63.049999,64.07,61.639999,63.029999,51.248024,5782600
9/15/2011,63.650002,64.610001,63.450001,64.32,52.296894,5263700
9/16/2011,64.779999,65.75,64.519997,65.379997,53.158737,6926700
9/19/2011,64.080002,64.400002,62.950001,64.150002,52.158649,4836800
9/20/2011,64.360001,64.639999,63.5,63.560001,51.678955,3431600
9/21/2011,63.540001,63.82,60.990002,61.02,49.613743,4517200
9/22/2011,59.330002,59.59,57.529999,58.720001,47.743675,12055700
9/23/2011,58.57,59.77,58.060001,59.509998,48.386002,6239400
9/26/2011,60.799999,62.27,60,62.009998,50.418694,7031800
9/27/2011,64.129997,64.290001,62.41,62.779999,51.04475,6410300
9/28/2011,63.279999,64.050003,61.810001,61.919998,50.345509,4695500
9/29/2011,63.200001,63.700001,61.360001,62.369999,50.711384,6094200
9/30/2011,61.5,62.18,60.450001,60.509998,49.199074,5464300
10/3/2011,60.099998,61.529999,57.849998,58.25,47.36153,8290400
10/4/2011,57.529999,59.23,56.900002,59.139999,48.085175,7800000
10/5/2011,58.900002,60.040001,58.650002,59.959999,48.751884,5825600
10/6/2011,60.009998,61.790001,59.450001,61.48,49.987766,5565900
10/7/2011,61.91,62.959999,61.43,61.810001,50.256069,5580800
10/10/2011,62.869999,64.190002,62.75,64.029999,52.061085,4597500
10/11/2011,63.66,64.25,63.5,63.970001,52.012321,3192200
10/12/2011,64.459999,65.230003,64.129997,64.32,52.296894,5136500
10/13/2011,63.779999,64.089996,63.049999,63.529999,51.654564,3154300
10/14/2011,64,64.279999,63.41,63.889999,51.947258,3839900
10/17/2011,63.34,63.509998,61.66,61.779999,50.231674,4873400
10/18/2011,61.93,64.239998,61.330002,63.470001,51.60577,6167800
10/19/2011,62.610001,64.269997,62.529999,63.110001,51.313068,4849500
10/20/2011,63.009998,63.73,62.18,62.490002,50.808968,6291500
10/21/2011,63.310001,64.639999,63.099998,64.589996,52.516411,6250400
10/24/2011,64.410004,65.059998,63.93,64.75,52.646519,5190800
10/25/2011,64.809998,64.949997,63.549999,63.720001,51.809044,6529500
10/26/2011,67.559998,67.900002,65.800003,66.559998,54.118164,12700300
10/27/2011,68.589996,68.760002,67.18,67.489998,54.874332,8606900
10/28/2011,67.550003,68.389999,67.309998,68.169998,55.427219,6102900
10/31/2011,67.120003,67.489998,65.739998,65.790001,53.492119,6879500
11/1/2011,64.230003,64.339996,62.369999,63.169998,51.361843,8962200
11/2/2011,63.970001,64.760002,63.830002,64.400002,52.361931,5782800
11/3/2011,65.160004,66.370003,64.5,66.190002,53.817333,4896800
11/4/2011,65.589996,65.949997,65,65.800003,53.500244,3458000
11/7/2011,65.709999,66.400002,65.169998,66.290001,53.898636,3624200
11/8/2011,66.440002,66.800003,65.449997,66.650002,54.53688,4827000
11/9/2011,65.169998,65.699997,64.330002,64.550003,52.818546,5753500
11/10/2011,65.089996,65.599998,64.589996,64.830002,53.047646,3853400
11/11/2011,65.43,67.260002,65.43,66.919998,54.757816,4397700
11/14/2011,68.889999,68.970001,67.699997,67.940002,55.592445,6366100
11/15/2011,67.900002,68.339996,67.050003,67.940002,55.592445,5112800
11/16/2011,67.129997,67.660004,66.199997,66.339996,54.28323,5352800
11/17/2011,67.199997,67.349998,65.410004,66.089996,54.078648,7122800
11/18/2011,66.93,67.849998,66.290001,67.459999,55.199661,7055300
11/21/2011,66.32,66.449997,64,65.559998,53.644989,8102900
