Date,Close/Last,Volume,Open,High,Low
6/25/2021,$96 ,2076210,$95.76 ,$96.49 ,$95.47 
6/24/2021,$95.35 ,2585059,$94.97 ,$95.42 ,$94.14 
6/23/2021,$94.50 ,2234949,$95.11 ,$96.03 ,$94.45 
6/22/2021,$94.78 ,2058333,$94.75 ,$95.52 ,$93.96 
6/21/2021,$94.93 ,2580230,$93.22 ,$95.08 ,$93.01 
6/18/2021,$92.27 ,5239933,$92.29 ,$93.25 ,$92.07 
6/17/2021,$94.02 ,3278245,$98.31 ,$98.31 ,$93.86 
6/16/2021,$98.24 ,3527689,$98.52 ,$98.97 ,$97.58 
6/15/2021,$98.61 ,3647777,$97.62 ,$98.65 ,$97.18 
6/14/2021,$97.38 ,2497259,$96.64 ,$97.41 ,$96.19 
6/11/2021,$97.03 ,2144351,$97.94 ,$98.08 ,$96.59 
6/10/2021,$97.59 ,2099043,$98.48 ,$98.88 ,$97.45 
6/9/2021,$97.90 ,1843940,$98.28 ,$98.36 ,$97.47 
6/8/2021,$98.51 ,2793093,$97.80 ,$99.09 ,$97.20 
6/7/2021,$97.87 ,1916613,$98.36 ,$98.41 ,$97.27 
6/4/2021,$98.21 ,1770141,$98 ,$98.74 ,$97.75 
6/3/2021,$97.50 ,1911441,$97.31 ,$97.97 ,$96.66 
6/2/2021,$97.48 ,2303437,$97.17 ,$97.58 ,$96.47 
6/1/2021,$97.10 ,2408776,$96.91 ,$97.24 ,$96.28 
5/28/2021,$95.69 ,2555518,$95.74 ,$96 ,$94.96 
5/27/2021,$95.45 ,3795286,$94.53 ,$95.66 ,$94.11 
5/26/2021,$93.31 ,1982386,$93.34 ,$93.75 ,$92.61 
5/25/2021,$93.41 ,1991134,$94.02 ,$94.63 ,$93.26 
5/24/2021,$94.01 ,1872811,$94.15 ,$94.53 ,$93.31 
5/21/2021,$93.65 ,2421873,$93.98 ,$94.64 ,$92.94 
5/20/2021,$93.44 ,2146040,$93.55 ,$93.77 ,$92.80 
5/19/2021,$93.32 ,2750557,$92.65 ,$93.35 ,$91.75 
5/18/2021,$94.22 ,1993479,$95.62 ,$95.89 ,$94.08 
5/17/2021,$95.52 ,2305061,$95.73 ,$96.05 ,$94.93 
5/14/2021,$95.84 ,1942241,$95.34 ,$96.17 ,$94.96 
5/13/2021,$94.71 ,2295613,$92.92 ,$95.12 ,$92.79 
5/12/2021,$93.35 ,4069919,$95.19 ,$95.45 ,$93.19 
5/11/2021,$95.26 ,3358636,$94.50 ,$95.65 ,$93.77 
5/10/2021,$95.38 ,2357586,$95.60 ,$96.90 ,$95.37 
5/7/2021,$95.05 ,3415600,$93.66 ,$95.26 ,$92.61 
5/6/2021,$93.72 ,4282664,$91.52 ,$93.86 ,$91.01 
5/5/2021,$90.89 ,3256363,$89.77 ,$91.39 ,$89.03 
5/4/2021,$91.11 ,3092501,$90.51 ,$91.27 ,$89.58 
5/3/2021,$90.93 ,2396456,$91.67 ,$91.93 ,$90.69 
4/30/2021,$90.49 ,2537980,$92.12 ,$92.45 ,$90.13 
4/29/2021,$92.79 ,1611683,$92.85 ,$92.91 ,$91.88 
4/28/2021,$92.08 ,1449040,$92.11 ,$92.69 ,$91.78 
4/27/2021,$92.16 ,1925688,$92.29 ,$92.41 ,$91.39 
4/26/2021,$92.13 ,2246712,$92.77 ,$93.57 ,$92.09 
4/23/2021,$92.46 ,2374111,$91.91 ,$92.88 ,$91.35 
4/22/2021,$91.52 ,2526059,$92.47 ,$92.47 ,$91.42 
4/21/2021,$92.11 ,2373744,$90.60 ,$92.25 ,$90.43 
4/20/2021,$90.83 ,2726282,$91.41 ,$91.70 ,$89.91 
4/19/2021,$91.79 ,2532722,$92.20 ,$92.66 ,$91.11 
4/16/2021,$92.20 ,2468757,$92.69 ,$93.27 ,$91.81 
4/15/2021,$91.72 ,3052997,$92.17 ,$92.30 ,$90.84 
4/14/2021,$91.54 ,2889534,$90.54 ,$91.83 ,$90.48 
4/13/2021,$90.63 ,2728360,$91.49 ,$91.65 ,$89.96 
4/12/2021,$92.01 ,2258617,$91.90 ,$92.37 ,$91.58 
4/9/2021,$91.94 ,3256348,$91.47 ,$92.63 ,$90.93 
4/8/2021,$91.04 ,2422257,$91.03 ,$91.21 ,$90.04 
4/7/2021,$91.09 ,2847373,$91.32 ,$91.94 ,$90.58 
4/6/2021,$91.47 ,2844029,$91.83 ,$92.63 ,$91.13 
4/5/2021,$91.61 ,3658829,$91.16 ,$92.55 ,$91.15 
4/1/2021,$90.41 ,3358574,$90.17 ,$90.62 ,$89.55 
3/31/2021,$90.22 ,3555480,$91.14 ,$91.65 ,$90.01 
3/30/2021,$91.14 ,2598480,$91.52 ,$91.91 ,$90.65 
3/29/2021,$91.23 ,3267259,$91.03 ,$92.25 ,$90.76 
3/26/2021,$91.57 ,4093255,$90.09 ,$91.70 ,$89.57 
3/25/2021,$89.19 ,2156911,$87.62 ,$89.44 ,$86.75 
3/24/2021,$88.06 ,2166933,$88 ,$89.92 ,$88 
3/23/2021,$87.22 ,2643132,$88.45 ,$89.72 ,$86.85 
3/22/2021,$89.35 ,2199029,$88.68 ,$89.88 ,$87.79 
3/19/2021,$88.49 ,10934600,$88.97 ,$89.42 ,$87.26 
3/18/2021,$89.46 ,2301491,$90.39 ,$91.81 ,$89.22 
3/17/2021,$90.52 ,2364920,$89.11 ,$90.69 ,$89 
3/16/2021,$89.06 ,3362204,$90.55 ,$90.75 ,$88.54 
3/15/2021,$90.92 ,2676230,$91.75 ,$92.38 ,$89.64 
3/12/2021,$92.20 ,2440213,$91.45 ,$92.25 ,$91.13 
3/11/2021,$91.31 ,2660048,$92.04 ,$92.75 ,$91.02 
3/10/2021,$91.72 ,3057516,$90.35 ,$92.14 ,$90.08 
3/9/2021,$90 ,3371312,$92.65 ,$92.94 ,$89.98 
3/8/2021,$92.13 ,3993890,$92 ,$93.38 ,$91.08 
3/5/2021,$91.04 ,3299009,$89.79 ,$91.27 ,$88.06 
3/4/2021,$88.49 ,3805048,$88.46 ,$89.92 ,$86.76 
3/3/2021,$88.53 ,3487374,$87.83 ,$89.53 ,$87.39 
3/2/2021,$87.63 ,2024907,$88.33 ,$88.87 ,$87.45 
3/1/2021,$88.44 ,1844652,$87.07 ,$89.17 ,$86.92 
2/26/2021,$85.90 ,3235741,$87.36 ,$87.88 ,$85.87 
2/25/2021,$87.33 ,2783057,$88.47 ,$88.63 ,$86.89 
2/24/2021,$88.97 ,2827271,$87.05 ,$89.10 ,$86.94 
2/23/2021,$86.80 ,2665047,$85.96 ,$87.16 ,$85.50 
2/22/2021,$86.17 ,2043987,$85.44 ,$86.89 ,$84.33 
